No.,Description,Category,Energy (Kcal),Carbohydrate(g),Protein(g),Total Lipid(g),Monounsaturated Fatty Acids(g),Polyunsaturated Fatty Acids(g),Saturated Fatty Acids(g)
17186,"LAMB,VAR MEATS&BY-PRODUCTS,BRAIN,CKD,BRSD",LAMB,145,0.0,12.55,10.17,1.84,1.04,2.6
17187,"LAMB,VAR MEATS&BY-PRODUCTS,BRAIN,CKD,PAN-FRIED",LAMB,273,0.0,16.97,22.19,4.02,2.28,5.67
17185,"LAMB,VAR MEATS&BY-PRODUCTS,BRAIN,RAW",LAMB,122,0.0,10.4,8.58,1.55,0.88,2.19
17192,"LAMB,VAR MEATS&BY-PRODUCTS,HEART,CKD,BRSD",LAMB,185,1.93,24.97,7.91,2.22,0.77,3.14
17191,"LAMB,VAR MEATS&BY-PRODUCTS,HEART,RAW",LAMB,122,0.21,16.47,5.68,1.6,0.55,2.25
17196,"LAMB,VAR MEATS&BY-PRODUCTS,KIDNEYS,CKD,BRSD",LAMB,137,0.99,23.65,3.62,0.77,0.67,1.23
17195,"LAMB,VAR MEATS&BY-PRODUCTS,KIDNEYS,RAW",LAMB,97,0.82,15.74,2.95,0.63,0.55,1.0
17200,"LAMB,VAR MEATS&BY-PRODUCTS,LIVER,CKD,BRSD",LAMB,220,2.53,30.57,8.81,1.84,1.31,3.41
17201,"LAMB,VAR MEATS&BY-PRODUCTS,LIVER,CKD,PAN-FRIED",LAMB,238,3.78,25.53,12.65,2.64,1.89,4.9
17199,"LAMB,VAR MEATS&BY-PRODUCTS,LIVER,RAW",LAMB,139,1.78,20.38,5.02,1.05,0.75,1.94
17206,"LAMB,VAR MEATS&BY-PRODUCTS,LUNGS,CKD,BRSD",LAMB,113,0.0,19.88,3.1,0.8,0.43,1.06
17205,"LAMB,VAR MEATS&BY-PRODUCTS,LUNGS,RAW",LAMB,95,0.0,16.7,2.6,0.67,0.35,0.89
17209,"LAMB,VAR MEATS&BY-PRODUCTS,MECHANICALLY SEPARATED,RAW",LAMB,276,0.0,14.97,23.54,8.45,0.76,11.79
17211,"LAMB,VAR MEATS&BY-PRODUCTS,PANCREAS,CKD,BRSD",LAMB,234,0.0,22.83,15.12,5.45,0.74,6.84
