No.,Description,Category,Energy (Kcal),Carbohydrate(g),Protein(g),Total Lipid(g),Monounsaturated Fatty Acids(g),Polyunsaturated Fatty Acids(g),Saturated Fatty Acids(g)
23453,"BEEF,NZ,IMP,CHUCK EYE ROLL,LN & FAT,RAW",BEEF,181,0.0,19.38,11.45,4.042,0.377,4.437
23405,"BEEF,NZ,IMP,CHUCK EYE ROLL,LN,CKD,BRSD",BEEF,208,0.0,32.08,8.89,3.172,0.382,2.894
23404,"BEEF,NZ,IMP,CHUCK EYE ROLL,LN,RAW",BEEF,131,0.0,20.46,5.41,1.996,0.248,1.756
23454,"BEEF,NZ,IMP,CUBE ROLL,LN & FAT,CKD,FAST RSTD",BEEF,286,0.03,27.79,19.45,6.037,0.491,7.012
23455,"BEEF,NZ,IMP,CUBE ROLL,LN & FAT,RAW",BEEF,225,1.31,18.22,16.31,5.524,0.422,6.734
23406,"BEEF,NZ,IMP,CUBE ROLL,LN,CKD,FAST RSTD",BEEF,239,0.0,30.09,13.22,4.0,0.363,4.523
23407,"BEEF,NZ,IMP,CUBE ROLL,LN,RAW",BEEF,161,1.38,19.77,8.51,3.054,0.261,3.689
23456,"BEEF,NZ,IMP,EYE RND,LN & FAT,CKD,SLOW RSTD",BEEF,168,0.0,29.49,5.57,2.017,0.28,1.85
23457,"BEEF,NZ,IMP,EYE RND,LN & FAT,RAW",BEEF,129,1.32,19.88,4.92,1.549,0.232,1.573
23408,"BEEF,NZ,IMP,EYE RND,LN,CKD,SLOW RSTD",BEEF,164,0.0,29.68,4.98,1.831,0.269,1.623
23409,"BEEF,NZ,IMP,EYE RND,LN,RAW",BEEF,116,1.35,20.15,3.35,1.009,0.198,0.875
23458,"BEEF,NZ,IMP,FLANK,LN & FAT,CKD,BRSD",BEEF,208,0.0,30.13,9.73,3.293,0.324,3.566
23459,"BEEF,NZ,IMP,FLANK,LN & FAT,RAW",BEEF,161,0.0,20.12,8.9,2.888,0.23,3.292
23410,"BEEF,NZ,IMP,FLANK,LN,CKD,BRSD",BEEF,194,0.0,30.75,7.92,2.712,0.288,2.862
23411,"BEEF,NZ,IMP,FLANK,LN,RAW",BEEF,142,0.0,20.53,6.67,2.121,0.179,2.299
23460,"BEEF,NZ,IMP,FLAT,LN & FAT,CKD,BRSD",BEEF,252,0.0,31.86,13.79,4.867,0.578,4.507
23461,"BEEF,NZ,IMP,FLAT,LN & FAT,RAW",BEEF,177,0.0,20.57,10.55,3.894,0.38,3.847
23412,"BEEF,NZ,IMP,FLAT,LN,CKD,BRSD",BEEF,226,0.0,33.22,10.3,3.761,0.517,3.117
23413,"BEEF,NZ,IMP,FLAT,LN,RAW",BEEF,154,0.0,21.3,7.69,3.144,0.328,2.525
23462,"BEEF,NZ,IMP,HIND SHIN,LN & FAT,CKD,BRSD",BEEF,196,0.07,29.82,8.5,2.998,0.38,2.948
23463,"BEEF,NZ,IMP,HIND SHIN,LN & FAT,RAW",BEEF,147,0.0,20.61,7.2,2.53,0.233,2.711
23416,"BEEF,NZ,IMP,HIND SHIN,LN,CKD,BRSD",BEEF,167,0.0,31.23,4.64,1.781,0.308,1.369
23417,"BEEF,NZ,IMP,HIND SHIN,LN,RAW",BEEF,114,0.0,21.46,3.12,1.257,0.146,0.881
23418,"BEEF,NZ,IMP,INSIDE,RAW",BEEF,128,0.1,22.16,4.36,1.541,0.228,1.528
23419,"BEEF,NZ,IMP,INTERMUSCULAR FAT,CKD",BEEF,560,3.39,7.9,57.22,17.852,1.27,25.25
23420,"BEEF,NZ,IMP,INTERMUSCULAR FAT,RAW",BEEF,602,0.01,6.97,63.78,17.893,1.338,28.5
23422,"BEEF,NZ,IMP,KNUCKLE,CKD,FAST FRIED",BEEF,178,0.0,27.51,7.58,2.353,0.337,2.299
23426,"BEEF,NZ,IMP,MANUFACTURING BF,CKD,BLD",BEEF,126,0.0,24.21,3.26,0.897,0.246,1.154
23427,"BEEF,NZ,IMP,MANUFACTURING BF,RAW",BEEF,119,0.23,21.23,3.68,1.219,0.226,1.65
23464,"BEEF,NZ,IMP,OYSTER BLADE,LN & FAT,CKD,BRSD",BEEF,197,0.0,29.79,8.68,3.094,0.352,3.013
23440,"BEEF,NZ,IMP,OYSTER BLADE,LN & FAT,RAW",BEEF,178,0.0,21.27,10.31,3.583,0.328,3.815
23428,"BEEF,NZ,IMP,OYSTER BLADE,LN,CKD,BRSD",BEEF,196,0.0,29.87,8.46,3.022,0.348,2.925
23429,"BEEF,NZ,IMP,OYSTER BLADE,LN,RAW",BEEF,155,0.0,21.83,7.56,2.648,0.268,2.589
23430,"BEEF,NZ,IMP,RIBS PREP,CKD,FAST RSTD",BEEF,197,0.09,27.23,9.74,2.975,0.236,3.585
23431,"BEEF,NZ,IMP,RIBS PREP,RAW",BEEF,146,0.0,21.31,6.78,2.279,0.191,2.453
23465,"BEEF,NZ,IMP,RUMP CENTRE,LN & FAT,CKD,FAST FRIED",BEEF,192,0.0,30.01,7.96,2.776,0.406,2.795
23467,"BEEF,NZ,IMP,RUMP CENTRE,LN & FAT,RAW",BEEF,145,0.0,21.65,6.5,2.199,0.304,2.2
23432,"BEEF,NZ,IMP,RUMP CENTRE,LN,CKD,FAST FRIED",BEEF,188,0.0,30.17,7.48,2.622,0.398,2.609
23466,"BEEF,NZ,IMP,RUMP CENTRE,LN,RAW",BEEF,141,0.0,21.74,6.05,2.045,0.295,1.999
23468,"BEEF,NZ,IMP,STRIPLOIN,LN & FAT,CKD,FAST FRIED",BEEF,301,0.02,24.89,22.33,8.07,0.561,8.244
23469,"BEEF,NZ,IMP,STRIPLOIN,LN & FAT,RAW",BEEF,252,0.6,18.49,19.53,6.937,0.515,8.064
23433,"BEEF,NZ,IMP,STRIPLOIN,LN,CKD,FAST FRIED",BEEF,217,0.0,28.53,11.4,4.703,0.338,3.918
23434,"BEEF,NZ,IMP,STRIPLOIN,LN,RAW",BEEF,150,0.74,20.93,7.0,2.814,0.243,2.488
23435,"BEEF,NZ,IMP,SUBCUTANEOUS FAT,CKD",BEEF,731,0.0,6.5,78.3,25.342,1.702,30.256
23436,"BEEF,NZ,IMP,SUBCUTANEOUS FAT,RAW",BEEF,685,0.0,8.5,72.38,24.702,1.68,31.514
23437,"BEEF,NZ,IMP,SWEETBREAD,CKD,BLD",BEEF,318,0.0,12.53,29.79,7.837,0.631,12.473
23438,"BEEF,NZ,IMP,SWEETBREAD,RAW",BEEF,303,0.0,11.51,28.6,8.072,0.646,12.294
23470,"BEEF,NZ,IMP,TENDERLOIN,LN & FAT,CKD,FAST FRIED",BEEF,202,0.27,29.26,9.35,2.775,0.376,3.729
23471,"BEEF,NZ,IMP,TENDERLOIN,LN & FAT,RAW",BEEF,146,0.0,21.04,6.88,2.032,0.268,2.788
23439,"BEEF,NZ,IMP,TENDERLOIN,LN,CKD,FAST FRIED",BEEF,200,0.27,29.37,9.01,2.661,0.37,3.596
23441,"BEEF,NZ,IMP,TENDERLOIN,LN,RAW",BEEF,140,0.0,21.19,6.1,1.762,0.251,2.446
23424,"BEEF,NZ,IMP,VAR MEATS & BY-PRODUCTS LIVER,CKD,BLD",BEEF,150,3.78,23.3,4.68,0.533,0.824,1.392
23414,"BEEF,NZ,IMP,VAR MEATS & BY-PRODUCTS,HEART,CKD,BLD",BEEF,179,0.0,31.29,6.0,1.025,1.052,1.825
23415,"BEEF,NZ,IMP,VAR MEATS & BY-PRODUCTS,HEART,RAW",BEEF,105,0.0,18.52,3.4,0.533,0.579,0.857
23421,"BEEF,NZ,IMP,VAR MEATS & BY-PRODUCTS,KIDNEY,CKD,BLD",BEEF,157,0.0,27.28,5.27,0.65,1.238,1.173
23423,"BEEF,NZ,IMP,VAR MEATS & BY-PRODUCTS,KIDNEY,RAW",BEEF,87,0.0,15.68,2.64,0.345,0.606,0.616
23425,"BEEF,NZ,IMP,VAR MEATS & BY-PRODUCTS,LIVER,RAW",BEEF,133,3.6,20.5,4.05,0.464,0.88,1.185
23442,"BEEF,NZ,IMP,VAR MEATS & BY-PRODUCTS,TONGUE,CKD,BLD",BEEF,271,3.68,18.31,20.34,6.63,0.715,7.019
23443,"BEEF,NZ,IMP,VAR MEATS & BY-PRODUCTS,TONGUE,RAW",BEEF,243,0.0,17.77,19.09,6.656,0.638,6.689
23444,"BEEF,NZ,IMP,VAR MEATS & BY-PRODUCTS,TRIPE CKD,BLD",BEEF,103,0.0,19.0,2.98,0.718,0.159,0.922
23445,"BEEF,NZ,IMP,VAR MEATS & BY-PRODUCTS,TRIPE UNCKD,RAW",BEEF,77,0.0,14.86,1.98,0.77,0.17,1.02
23218,"BEEF,PLATE STEAK,BNLESS,INSIDE SKIRT,LN & FAT,0"" FAT,CHOC,RW",BEEF,195,0.0,20.06,12.78,6.01,0.596,5.034
23219,"BEEF,PLATE STEAK,BNLESS,INSIDE SKIRT,LN & FAT,0"" FAT,SEL,RAW",BEEF,174,0.0,20.87,10.11,4.561,0.475,4.014
23163,"BEEF,PLATE STEAK,BNLESS,INSIDE SKIRT,LN,0"" FAT,ALL GRDS,RAW",BEEF,164,0.0,21.17,8.82,3.943,0.442,3.233
23165,"BEEF,PLATE STEAK,BNLESS,INSIDE SKIRT,LN,0"" FAT,CHOIC,RAW",BEEF,171,0.0,20.89,9.76,4.43,0.483,3.546
23166,"BEEF,PLATE STEAK,BNLESS,INSIDE SKIRT,LN,0"" FAT,SEL,CKD,GRILD",BEEF,223,0.0,30.64,11.16,4.594,0.486,3.647
23167,"BEEF,PLATE STEAK,BNLESS,INSIDE SKIRT,LN,0"" FAT,SEL,RAW",BEEF,153,0.0,21.61,7.41,3.212,0.38,2.765
23226,"BEEF,PLATE STEAK,BNLESS,OUTSIDE SKIRT,LN & FAT,0"" FAT,SEL,RW",BEEF,222,0.36,18.43,16.31,7.137,0.813,6.705
23169,"BEEF,PLATE STEAK,BNLESS,OUTSIDE SKIRT,LN,0"" FAT,ALL GRDS,RAW",BEEF,206,0.19,18.74,14.53,6.082,0.766,5.618
23171,"BEEF,PLATE STEAK,BNLESS,OUTSIDE SKIRT,LN,0"" FAT,CHOIC,RAW",BEEF,212,0.17,18.47,15.26,6.363,0.797,5.798
23172,"BEEF,PLATE STEAK,BNLESS,OUTSIDE SKIRT,LN,0"" FAT,SEL,CKD,GRLD",BEEF,268,0.0,28.65,17.1,6.639,1.003,6.132
23173,"BEEF,PLATE STEAK,BNLESS,OUTSIDE SKIRT,LN,0"" FAT,SEL,RAW",BEEF,198,0.23,19.14,13.44,5.659,0.718,5.349
23170,"BEEF,PLATE STEAK,BNLS,OUTSIDE SKIRT,LN,0"" FAT,CHOIC,CKD,GRLD",BEEF,291,0.0,27.03,20.28,7.979,1.128,7.035
23225,"BEEF,PLATE STEAK,BNLS,OUTSIDE SKRT,LN & FAT,0"" FAT,CHOIC,RAW",BEEF,238,0.35,17.69,18.44,8.126,0.907,7.426
23217,"BEEF,PLATE STEK,BNLS,INSDE SKRT,LN & FAT,0"" FAT,ALL GRDS,RW",BEEF,187,0.0,20.38,11.71,5.431,0.548,4.626
23224,"BEEF,PLATE STEK,BNLS,OUTSDE SKRT,LN & FAT,0"" FAT,ALL GRDS,RW",BEEF,232,0.35,17.98,17.59,7.73,0.869,7.138
23162,"BEEF,PLATE STK,BNLE,INSDE SKRT,LN,0"" FAT,ALL GRDS,CKD,GRLD",BEEF,234,0.0,29.99,12.69,5.49,0.553,4.315
23216,"BEEF,PLATE STK,BNLES,INSDE SKRT,LN & FAT,0"" FAT,SEL,CKD,GRLD",BEEF,233,0.0,30.06,12.54,5.304,0.543,4.311
23164,"BEEF,PLATE STK,BNLES,INSIDE SKIRT,LN,0"" FAT,CHOIC,CKD,GRLD",BEEF,242,0.0,29.56,13.72,6.088,0.597,4.76
23168,"BEEF,PLATE STK,BNLES,OTSDE SKIRT,LN,0"" FAT,ALL GRDS,CKD,GRLD",BEEF,282,0.0,27.68,19.01,7.443,1.078,6.674
23223,"BEEF,PLATE STK,BNLS,OTSDE SKRT,LN & FAT,0"" FAT,SEL,CKD,GRILD",BEEF,281,0.0,27.95,18.75,7.49,1.057,6.911
23222,"BEEF,PLATE STK,BNLS,OUTSD SKRT,LN & FAT,0"" FT,CHC,CKD,GRLD",BEEF,300,0.0,26.46,21.62,8.732,1.176,7.733
23215,"BEEF,PLATE STK,BNLSS,INSDE SKRT,LN & FAT,0"" FAT,CHC,CKD,GRLD",BEEF,253,0.0,28.9,15.3,6.927,0.665,5.554
13977,"BEEF,PLATE,INSIDE SKIRT STEAK,LN,0"" FAT,ALL GRDS,CKD,BRLD",BEEF,205,0.0,26.66,10.06,5.22,0.36,3.85
13979,"BEEF,PLATE,OUTSIDE SKIRT STEAK,LN,0"" FAT,ALL GRDS,CKD,BRLD",BEEF,233,0.0,24.18,14.37,7.38,0.6,5.97
23541,"BEEF,PLATE,OUTSIDE SKIRT,LN & FAT,0"" FAT,ALL GRDS,CKD,BRLD",BEEF,255,0.0,23.51,17.13,8.52,0.702,7.083
23540,"BEEF,PLATE,SKIRT STEAK,LN & FAT,0"" FAT,ALL GRDS,CKD,BRLD",BEEF,220,0.0,26.13,12.05,6.055,0.436,4.666
23214,"BEEF,PLTE STK,BNLS,INSD SKRT,LN & FAT,0"" FAT,ALL GRD,CKD,GRL",BEEF,245,0.0,29.36,14.2,6.278,0.616,5.057
23221,"BEEF,PLTE STK,BNLS,OUTSD SKRT,LN & FAT,0"" FT,AL GRD,CKD,GRLD",BEEF,292,0.0,27.06,20.47,8.235,1.128,7.405
23190,"BEEF,RIB EYE RST,BNE-IN,LIP-ON,LN & FAT,1/8"" FAT,SEL,CKD,RST",BEEF,290,0.0,23.36,21.85,10.284,1.003,9.562
23189,"BEEF,RIB EYE RST,BNE-IN,LIP-ON,LN & FAT,1/8"" FT,CHC,CKD,RST",BEEF,307,0.0,23.53,23.61,11.184,1.059,10.097
23146,"BEEF,RIB EYE RST,BNE-IN,LIP-ON,LN,1/8"" FT,ALL GRDS,CKD,RSTD",BEEF,231,0.0,27.12,13.64,6.085,0.619,5.258
23191,"BEEF,RIB EYE RST,BNE-IN,LP-ON,LN & FT,1/8"" FT,AL GRD,CKD,RST",BEEF,300,0.0,23.47,22.91,10.824,1.036,9.883
23199,"BEEF,RIB EYE RST,BNLES,LIP-ON,LN & FAT,1/8"" FAT,CHC,CKD,RSTD",BEEF,303,0.0,23.92,22.98,11.039,1.173,10.044
23200,"BEEF,RIB EYE RST,BNLES,LIP-ON,LN & FAT,1/8"" FAT,SEL,CKD,RSTD",BEEF,277,0.0,24.85,19.68,9.135,0.992,8.482
23159,"BEEF,RIB EYE RST,BNLESS,LIP-ON,LN,1/8"" FAT,ALL GRDS,CKD,RSTD",BEEF,218,0.0,28.21,11.68,5.269,0.696,4.535
23160,"BEEF,RIB EYE RST,BNLESS,LIP-ON,LN,1/8"" FAT,CHOIC,CKD,RSTD",BEEF,229,0.0,27.87,13.01,6.091,0.777,5.187
23161,"BEEF,RIB EYE RST,BNLESS,LIP-ON,LN,1/8"" FAT,SEL,CKD,RSTD",BEEF,202,0.0,28.72,9.68,4.037,0.574,3.556
23198,"BEEF,RIB EYE RST,BNLS,LP-ON,LN & FT,1/8"" FT,ALL GRD,CKD,RSTD",BEEF,292,0.0,24.3,21.66,10.277,1.101,9.419
23101,"BEEF,RIB EYE RST,BONE-IN,LIP-ON,LN,1/8"" FAT,CHOIC,CKD,RSTD",BEEF,240,0.0,27.18,14.55,6.622,0.658,5.606
23147,"BEEF,RIB EYE RST,BONE-IN,LIP-ON,LN,1/8"" FAT,SEL,CKD,RSTD",BEEF,219,0.0,27.03,12.29,5.281,0.562,4.736
23148,"BEEF,RIB EYE STEAK,BNLES,LIP-ON,LN,1/8"" FAT,CHOIC,CKD,GRILD",BEEF,217,0.0,27.3,11.97,5.433,0.554,4.645
23230,"BEEF,RIB EYE STEAK,BNLESS,LIP OFF,LN & FAT,0"" FAT,ALL GRD,RW",BEEF,228,0.12,19.26,16.71,7.88,0.794,7.363
23231,"BEEF,RIB EYE STEAK,BNLESS,LIP OFF,LN & FAT,0"" FAT,CHOIC,RAW",BEEF,241,0.2,18.69,18.43,8.611,0.861,8.074
23232,"BEEF,RIB EYE STEAK,BNLESS,LIP OFF,LN & FAT,0"" FAT,SEL,RAW",BEEF,208,0.0,20.12,14.14,6.773,0.691,6.29
23174,"BEEF,RIB EYE STEAK,BNLESS,LIP OFF,LN,0"" FAT,ALL GRDS,CKD,GRI",BEEF,206,0.0,28.11,10.37,4.866,0.548,4.2
23175,"BEEF,RIB EYE STEAK,BNLESS,LIP OFF,LN,0"" FAT,ALL GRDS,RAW",BEEF,154,0.0,21.85,7.41,3.277,0.439,2.759
23176,"BEEF,RIB EYE STEAK,BNLESS,LIP OFF,LN,0"" FAT,CHOIC,CKD,GRILLE",BEEF,215,0.0,27.39,11.75,5.433,0.554,4.645
23177,"BEEF,RIB EYE STEAK,BNLESS,LIP OFF,LN,0"" FAT,CHOIC,RAW",BEEF,162,0.0,21.44,8.5,3.576,0.467,3.057
23178,"BEEF,RIB EYE STEAK,BNLESS,LIP OFF,LN,0"" FAT,SEL,CKD,GRILLED",BEEF,191,0.0,29.18,8.31,4.015,0.539,3.534
23179,"BEEF,RIB EYE STEAK,BNLESS,LIP OFF,LN,0"" FAT,SEL,RAW",BEEF,142,0.0,22.46,5.78,2.83,0.396,2.313
23149,"BEEF,RIB EYE STEAK,BNLESS,LIP-ON,LN,1/8"" FAT,SEL,CKD,GRILLED",BEEF,192,0.0,28.98,8.48,4.015,0.539,3.534
23228,"BEEF,RIB EYE STEAK,BNLS,LIP OFF,LN & FAT,0"" FAT,CHC,CKD,GRLD",BEEF,285,0.0,23.89,21.1,10.087,0.949,9.244
23195,"BEEF,RIB EYE STEAK,BNLS,LIP-ON,LN & FAT,1/8"" FAT,CHC,CKD,GRD",BEEF,303,0.0,22.92,23.52,11.247,1.059,10.307
23157,"BEEF,RIB EYE STEAK,BONE-IN,LIP-ON,LN,1/8"" FAT,CHOIC,CKD,GRLD",BEEF,229,0.0,27.03,13.44,5.828,0.607,4.897
23158,"BEEF,RIB EYE STEAK,BONE-IN,LIP-ON,LN,1/8"" FAT,SEL,CKD,GRILD",BEEF,210,0.0,27.96,10.91,5.327,0.573,4.639
23154,"BEEF,RIB EYE STEAK/ROAST,BNLESS,LIP-ON,LN,1/8"" FAT,CHOIC,RAW",BEEF,161,0.0,21.62,8.29,3.576,0.467,3.057
23155,"BEEF,RIB EYE STEAK/ROAST,BNLESS,LIP-ON,LN,1/8"" FAT,SEL,RAW",BEEF,148,0.0,22.55,6.41,2.83,0.396,2.313
23152,"BEEF,RIB EYE STEAK/ROAST,BONE-IN,LIP-ON,LN,1/8"" FAT,SEL,RAW",BEEF,155,0.0,21.65,7.64,3.528,0.393,3.039
23202,"BEEF,RIB EYE STEAK/ROST,BNLS,LIP-ON,LN & FAT,1/8"" FAT,CHC,RW",BEEF,253,0.0,18.39,19.95,9.322,0.932,8.741
23213,"BEEF,RIB EYE STEAK/ROST,BNLS,LIP-ON,LN & FAT,1/8"" FAT,SEL,RW",BEEF,230,0.0,19.55,16.9,8.092,0.825,7.515
23151,"BEEF,RIB EYE STEAK/RST,BONE-IN,LIP-ON,LN,1/8"" FAT,CHOIC,RAW",BEEF,173,0.0,20.93,9.97,4.531,0.464,3.88
23229,"BEEF,RIB EYE STEK,BNLES,LIP OFF,LN & FAT,0"" FAT,SEL,CKD,GRLD",BEEF,248,0.0,26.29,15.9,7.786,0.81,7.226
23188,"BEEF,RIB EYE STK,BN-IN,LIP-ON,LN & FT,1/8"" FT,AL GDS,CKD,GRL",BEEF,309,0.0,22.9,24.2,11.616,1.104,10.629
23186,"BEEF,RIB EYE STK,BNE-IN,LIP-ON,LN & FT,1/8"" FAT,CHOC,CKD,GRL",BEEF,313,0.0,22.71,24.7,11.62,1.103,10.566
23187,"BEEF,RIB EYE STK,BNE-IN,LIP-ON,LN & FT,1/8"" FAT,SEL,CKD,GRLD",BEEF,304,0.0,23.19,23.47,11.609,1.105,10.723
23156,"BEEF,RIB EYE STK,BNE-IN,LIP-ON,LN,1/8"" FAT,ALL GRDS,CKD,GRLD",BEEF,221,0.0,27.4,12.43,5.628,0.594,4.794
23100,"BEEF,RIB EYE STK,BNLES,LIP-ON,LN,1/8"" FAT,ALL GRDS,CKD,GRLD",BEEF,207,0.0,27.97,10.57,4.866,0.548,4.2
23227,"BEEF,RIB EYE STK,BNLS,LIP OF,LN & FAT,0"" FT,AL GRDS,CKD,GRLD",BEEF,271,0.0,24.85,19.02,9.171,0.896,8.443
23196,"BEEF,RIB EYE STK,BNLS,LIP-ON,LN & FAT,1/8"" FAT,SEL,CKD,GILD",BEEF,273,0.0,24.83,19.25,9.426,0.981,8.749
23197,"BEEF,RIB EYE STK,BNLS,LIP-ON,LN & FT,1/8"" FT,AL GRD,CKD,GRLD",BEEF,291,0.0,23.69,21.81,10.519,1.027,9.684
23192,"BEEF,RIB EYE STK/RST,BNE-IN,IP-ON,LN & FT,1/8"" FT,AL GRDS,RW",BEEF,255,0.0,18.13,20.31,9.717,0.907,9.097
23193,"BEEF,RIB EYE STK/RST,BNE-IN,LIP-ON,LN & FAT,1/8"" FAT,CHC,RAW",BEEF,260,0.0,17.92,20.96,9.929,0.921,9.265
23153,"BEEF,RIB EYE STK/RST,BNLESS,LIP-ON,LN,1/8"" FAT,ALL GRDS,RAW",BEEF,156,0.0,21.99,7.54,3.277,0.439,2.759
23201,"BEEF,RIB EYE STK/RST,BNLS,LIP-ON,LN & FAT,1/8"" FAT,AL GRD,RW",BEEF,244,0.0,18.85,18.73,8.83,0.889,8.251
23194,"BEEF,RIB EYE STK/RST,BONE-IN,LIP-ON,LN & FAT,1/8"" FAT,SEL,RW",BEEF,248,0.0,18.44,19.34,9.399,0.886,8.844
23150,"BEEF,RIB EYE STK/RST,BONE-IN,LIP-ON,LN,1/8"" FAT,ALL GRDS,RAW",BEEF,166,0.0,21.22,9.04,4.13,0.436,3.544
13951,"BEEF,RIB EYE,SML END (RIBS 10-12),LN & FAT,0"",SEL,CKD,BRLD",BEEF,234,0.0,27.95,12.71,5.205,0.472,4.934
13284,"BEEF,RIB EYE,SML END (RIBS 10-12),LN,0"" FAT,SEL,RAW",BEEF,149,0.0,21.17,6.57,2.771,0.189,2.65
23233,"BEEF,RIB,BACK RIBS,BONE-IN,LN & FAT,0"" FAT,ALL GRDS,CKD,BRSD",BEEF,360,0.0,24.23,29.21,14.191,1.203,12.99
23236,"BEEF,RIB,BACK RIBS,BONE-IN,LN & FAT,0"" FAT,ALL GRDS,RAW",BEEF,324,0.78,16.15,28.42,13.811,1.171,12.643
23234,"BEEF,RIB,BACK RIBS,BONE-IN,LN & FAT,0"" FAT,CHOIC,CKD,BRSD",BEEF,372,0.0,23.34,30.95,15.072,1.263,13.77
23237,"BEEF,RIB,BACK RIBS,BONE-IN,LN & FAT,0"" FAT,CHOIC,RAW",BEEF,336,0.9,15.75,29.89,14.553,1.219,13.296
23235,"BEEF,RIB,BACK RIBS,BONE-IN,LN & FAT,0"" FAT,SEL,CKD,BRSD",BEEF,341,0.0,25.56,26.59,12.872,1.115,11.822
23238,"BEEF,RIB,BACK RIBS,BONE-IN,LN & FAT,0"" FAT,SEL,RAW",BEEF,305,0.6,16.75,26.23,12.698,1.1,11.663
23180,"BEEF,RIB,BACK RIBS,BONE-IN,LN,0"" FAT,ALL GRDS,CKD,BRSD",BEEF,299,0.0,28.36,20.57,9.271,0.805,8.103
23181,"BEEF,RIB,BACK RIBS,BONE-IN,LN,0"" FAT,ALL GRDS,RAW",BEEF,239,0.46,19.11,17.91,8.072,0.701,7.055
23182,"BEEF,RIB,BACK RIBS,BONE-IN,LN,0"" FAT,CHOIC,CKD,BRSD",BEEF,306,0.0,27.75,21.72,10.042,0.846,8.763
23183,"BEEF,RIB,BACK RIBS,BONE-IN,LN,0"" FAT,CHOIC,RAW",BEEF,252,0.64,18.72,19.36,8.952,0.754,7.812
23184,"BEEF,RIB,BACK RIBS,BONE-IN,LN,0"" FAT,SEL,CKD,BRSD",BEEF,287,0.0,29.28,18.84,8.088,0.745,7.091
23185,"BEEF,RIB,BACK RIBS,BONE-IN,LN,0"" FAT,SEL,RAW",BEEF,221,0.2,19.71,15.73,6.752,0.622,5.92
13490,"BEEF,RIB,EYE,SML END (RIBS 10- 12) LN,0"" FAT,SEL,CKD,BRLD",BEEF,182,0.0,29.93,6.05,2.416,0.223,2.305
13095,"BEEF,RIB,EYE,SML END (RIBS 10-12),LN&FAT,0""FAT,CHOIC,RAW",BEEF,274,0.0,17.51,22.07,9.58,0.77,9.0
13098,"BEEF,RIB,EYE,SML END (RIBS 10-12),LN,0""FAT,CHOIC,CKD,BRLD",BEEF,205,0.0,28.88,9.01,3.595,0.332,3.43
13097,"BEEF,RIB,EYE,SML END (RIBS 10-12),LN,0""FAT,CHOIC,RAW",BEEF,161,0.0,20.13,8.3,3.56,0.27,3.23
13386,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,0""FAT,CHOIC,CKD,RSTD",BEEF,372,0.0,22.8,30.49,13.04,1.05,12.29
13387,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,0""FAT,SEL,CKD,RSTD",BEEF,331,0.0,23.48,25.54,10.93,0.89,10.3
13839,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,ALL GRDS,CKD,BRLD",BEEF,338,0.0,21.55,27.22,11.51,1.03,11.06
13840,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,ALL GRDS,CKD,RSTD",BEEF,355,0.0,23.01,28.51,12.2,0.99,11.5
13838,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,ALL GRDS,RAW",BEEF,316,0.0,16.26,27.29,11.69,1.0,11.29
13842,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,CHOIC,CKD,BRLD",BEEF,370,0.0,20.86,31.18,13.21,1.18,12.67
13843,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,CHOIC,CKD,RSTD",BEEF,378,0.0,22.5,31.28,13.39,1.09,12.62
13841,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,CHOIC,RAW",BEEF,333,0.0,16.03,29.34,12.56,1.07,12.13
13848,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,PRIME,CKD,BRLD",BEEF,404,0.0,20.65,34.97,15.29,1.21,14.51
13849,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,PRIME,CKD,RSTD",BEEF,393,0.0,22.86,32.74,14.29,1.13,13.59
13847,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,PRIME,RAW",BEEF,367,0.0,15.77,33.26,14.37,1.23,13.96
13845,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,SEL,CKD,BRLD",BEEF,324,0.0,21.55,25.71,10.85,0.97,10.43
13846,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,SEL,CKD,RSTD",BEEF,333,0.0,23.4,25.84,11.06,0.9,10.42
13844,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,SEL,RAW",BEEF,295,0.0,16.52,24.85,10.65,0.91,10.28
13388,"BEEF,RIB,LRG END (RIBS 6-9),LN,0""FAT,ALL GRDS,CKD,RSTD",BEEF,238,0.0,27.53,13.4,5.6,0.38,5.35
13389,"BEEF,RIB,LRG END (RIBS 6-9),LN,0""FAT,CHOIC,CKD,RSTD",BEEF,253,0.0,27.53,15.0,6.27,0.43,5.99
